Match_Id,Day,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Match_Won
501243,0,9,1,0,42.85714286,42.10526316,50,50,71.42857143,1
501244,1,8,1,0,38.66666667,51.51515152,22.22222222,44.18604651,58.13953488,0
501244,1,1,0,1,51.51515152,38.66666667,77.77777778,44.92753623,43.5483871,1
501245,1,3,0,0,60.30534351,53.38983051,64.70588235,36.36363636,41.55844156,0
501245,1,5,1,1,53.38983051,60.30534351,35.29411765,53.96825397,46.2962963,1
501246,0,10,1,0,26.08695652,57.14285714,16.66666667,15,70,0
501246,0,7,0,1,57.14285714,26.08695652,83.33333333,44.59459459,56.57894737,1
501247,1,9,0,1,42.85714286,51.51515152,100,50,28.57142857,0
501247,1,1,1,0,51.51515152,42.85714286,0,55.07246377,56.4516129,1
501248,0,8,0,1,38.66666667,42.10526316,36.36363636,55.81395349,41.86046512,0
501248,0,6,1,0,42.10526316,38.66666667,63.63636364,43.75,68.42105263,1
501249,1,2,0,1,50.35971223,47.01492537,44.44444444,45.90163934,43.5483871,0
501249,1,4,1,0,47.01492537,50.35971223,55.55555556,40.625,59.42028986,1
501250,1,1,0,0,51.51515152,60.30534351,37.5,44.92753623,56.4516129,0
501250,1,3,1,1,60.30534351,51.51515152,62.5,63.63636364,58.44155844,1
501251,0,7,0,1,57.14285714,42.10526316,50,44.59459459,56.57894737,0
501251,0,6,1,0,42.10526316,57.14285714,50,43.75,68.42105263,1
501252,1,2,0,0,50.35971223,42.85714286,100,45.90163934,56.4516129,0
501252,1,9,1,1,42.85714286,50.35971223,0,50,28.57142857,1
501253,0,4,1,1,47.01492537,26.08695652,50,40.625,40.57971014,0
501253,0,10,0,0,26.08695652,47.01492537,50,85,70,1
501254,1,5,1,0,53.38983051,60.30534351,35.29411765,53.96825397,53.7037037,0
501254,1,3,0,1,60.30534351,53.38983051,64.70588235,36.36363636,58.44155844,1
501255,1,8,1,1,38.66666667,26.08695652,75,44.18604651,41.86046512,0
501255,1,10,0,0,26.08695652,38.66666667,25,85,70,1
501256,0,4,0,1,47.01492537,57.14285714,50,59.375,40.57971014,0
501256,0,7,1,0,57.14285714,47.01492537,50,55.40540541,43.42105263,1
501257,1,5,0,1,53.38983051,50.35971223,43.75,46.03174603,46.2962963,0
501257,1,2,1,0,50.35971223,53.38983051,56.25,54.09836066,56.4516129,1
501258,1,3,1,1,60.30534351,42.10526316,68.75,63.63636364,58.44155844,0
501258,1,6,0,0,42.10526316,60.30534351,31.25,56.25,68.42105263,1
501259,1,9,0,1,42.85714286,47.01492537,0,50,28.57142857,0
501259,1,4,1,0,47.01492537,42.85714286,100,40.625,59.42028986,1
501260,1,2,1,0,50.35971223,51.51515152,50,54.09836066,56.4516129,0
501260,1,1,0,1,51.51515152,50.35971223,50,44.92753623,43.5483871,1
501261,0,7,0,0,57.14285714,38.66666667,60,44.59459459,43.42105263,0
501261,0,8,1,1,38.66666667,57.14285714,40,44.18604651,41.86046512,1
501262,1,4,0,1,47.01492537,42.10526316,55.55555556,59.375,40.57971014,0
501262,1,6,1,0,42.10526316,47.01492537,44.44444444,43.75,68.42105263,1
501263,0,9,1,0,42.85714286,53.38983051,50,50,71.42857143,0
501263,0,5,0,1,53.38983051,42.85714286,50,46.03174603,46.2962963,1
501264,1,10,0,1,26.08695652,38.66666667,25,85,30,0
501264,1,8,1,0,38.66666667,26.08695652,75,44.18604651,58.13953488,1
501265,1,4,1,1,47.01492537,50.35971223,55.55555556,40.625,40.57971014,0
501265,1,2,0,0,50.35971223,47.01492537,44.44444444,45.90163934,56.4516129,1
501266,1,3,1,1,60.30534351,42.85714286,50,63.63636364,58.44155844,0
501266,1,9,0,0,42.85714286,60.30534351,50,50,71.42857143,1
501267,1,10,0,1,26.08695652,51.51515152,20,85,30,0
501267,1,1,1,0,51.51515152,26.08695652,80,55.07246377,56.4516129,1
501268,1,7,1,1,57.14285714,53.38983051,62.5,55.40540541,56.57894737,0
501268,1,5,0,0,53.38983051,57.14285714,37.5,46.03174603,53.7037037,1
501269,1,4,1,0,47.01492537,38.66666667,70,40.625,59.42028986,0
501269,1,8,0,1,38.66666667,47.01492537,30,55.81395349,41.86046512,1
501270,0,6,1,1,42.10526316,26.08695652,50,43.75,31.57894737,0
501270,0,10,0,0,26.08695652,42.10526316,50,85,70,1
501271,1,2,1,0,50.35971223,60.30534351,36.84210526,54.09836066,56.4516129,0
501271,1,3,0,1,60.30534351,50.35971223,63.15789474,36.36363636,58.44155844,1
501272,0,1,0,1,51.51515152,57.14285714,27.77777778,44.92753623,43.5483871,0
501272,0,7,1,0,57.14285714,51.51515152,72.22222222,55.40540541,43.42105263,1
501273,1,2,0,1,50.35971223,60.30534351,36.84210526,45.90163934,43.5483871,0
501273,1,3,1,0,60.30534351,50.35971223,63.15789474,63.63636364,41.55844156,1
501274,1,7,1,0,57.14285714,51.51515152,72.22222222,55.40540541,43.42105263,0
501274,1,1,0,1,51.51515152,57.14285714,27.77777778,44.92753623,43.5483871,1
501275,1,2,0,1,50.35971223,57.14285714,42.10526316,45.90163934,43.5483871,0
501275,1,7,1,0,57.14285714,50.35971223,57.89473684,55.40540541,43.42105263,1
501276,1,3,1,1,60.30534351,50.35971223,63.15789474,63.63636364,58.44155844,0
501276,1,2,0,0,50.35971223,60.30534351,36.84210526,45.90163934,56.4516129,1
548311,1,3,0,1,60.30534351,57.14285714,45.45454545,36.36363636,58.44155844,0
548311,1,7,1,0,57.14285714,60.30534351,54.54545455,55.40540541,43.42105263,1
548312,1,1,0,1,51.51515152,42.10526316,58.82352941,44.92753623,43.5483871,0
548312,1,6,1,0,42.10526316,51.51515152,41.17647059,43.75,68.42105263,1
548313,1,7,1,0,57.14285714,26.08695652,83.33333333,55.40540541,43.42105263,0
548313,1,10,0,1,26.08695652,57.14285714,16.66666667,85,30,1
548314,0,5,0,1,53.38983051,47.01492537,60,46.03174603,46.2962963,0
548314,0,4,1,0,47.01492537,53.38983051,40,40.625,59.42028986,1
548315,1,2,0,1,50.35971223,42.10526316,58.82352941,45.90163934,43.5483871,0
548315,1,6,1,0,42.10526316,50.35971223,41.17647059,43.75,68.42105263,1
548316,0,8,1,0,38.66666667,60.30534351,40,44.18604651,58.13953488,0
548316,0,3,0,1,60.30534351,38.66666667,60,36.36363636,58.44155844,1
548317,1,5,0,1,53.38983051,51.51515152,60,46.03174603,46.2962963,0
548317,1,1,1,0,51.51515152,53.38983051,40,55.07246377,56.4516129,1
548318,0,10,1,1,26.08695652,47.01492537,50,15,30,0
548318,0,4,0,0,47.01492537,26.08695652,50,59.375,59.42028986,1
548319,1,8,1,1,38.66666667,57.14285714,40,44.18604651,41.86046512,0
548319,1,7,0,0,57.14285714,38.66666667,60,44.59459459,43.42105263,1
548320,1,2,1,0,50.35971223,51.51515152,50,54.09836066,56.4516129,0
548320,1,1,0,1,51.51515152,50.35971223,50,44.92753623,43.5483871,1
548321,0,6,1,0,42.10526316,60.30534351,31.25,43.75,68.42105263,0
548321,0,3,0,1,60.30534351,42.10526316,68.75,36.36363636,58.44155844,1
548322,1,7,0,1,57.14285714,53.38983051,62.5,44.59459459,56.57894737,0
548322,1,5,1,0,53.38983051,57.14285714,37.5,53.96825397,53.7037037,1
548323,1,3,0,0,60.30534351,50.35971223,63.15789474,36.36363636,41.55844156,0
548323,1,2,1,1,50.35971223,60.30534351,36.84210526,54.09836066,43.5483871,1
548324,0,4,1,0,47.01492537,26.08695652,50,40.625,59.42028986,0
548324,0,10,0,1,26.08695652,47.01492537,50,85,30,1
548325,1,1,0,0,51.51515152,53.38983051,40,44.92753623,56.4516129,0
548325,1,5,1,1,53.38983051,51.51515152,60,53.96825397,46.2962963,1
548326,1,6,0,0,42.10526316,38.66666667,63.63636364,56.25,68.42105263,0
548326,1,8,1,1,38.66666667,42.10526316,36.36363636,44.18604651,41.86046512,1
548327,1,10,0,0,26.08695652,60.30534351,33.33333333,85,70,0
548327,1,3,1,1,60.30534351,26.08695652,66.66666667,63.63636364,58.44155844,1
548328,1,1,1,0,51.51515152,47.01492537,68.42105263,55.07246377,56.4516129,0
548328,1,4,0,1,47.01492537,51.51515152,31.57894737,59.375,40.57971014,1
548329,0,2,0,0,50.35971223,53.38983051,50,45.90163934,56.4516129,0
548329,0,5,1,1,53.38983051,50.35971223,50,53.96825397,46.2962963,1
548330,1,7,0,1,57.14285714,42.10526316,50,44.59459459,56.57894737,0
548330,1,6,1,0,42.10526316,57.14285714,50,43.75,68.42105263,1
548331,1,5,0,0,53.38983051,38.66666667,77.77777778,46.03174603,53.7037037,0
548331,1,8,1,1,38.66666667,53.38983051,22.22222222,44.18604651,41.86046512,1
548332,0,2,0,0,50.35971223,26.08695652,100,45.90163934,56.4516129,0
548332,0,10,1,1,26.08695652,50.35971223,0,15,30,1
548333,1,4,1,1,47.01492537,51.51515152,31.57894737,40.625,40.57971014,0
548333,1,1,0,0,51.51515152,47.01492537,68.42105263,44.92753623,56.4516129,1
548334,1,8,1,1,38.66666667,42.10526316,36.36363636,44.18604651,41.86046512,0
548334,1,6,0,0,42.10526316,38.66666667,63.63636364,56.25,68.42105263,1
548335,1,3,0,1,60.30534351,26.08695652,66.66666667,36.36363636,58.44155844,0
548335,1,10,1,0,26.08695652,60.30534351,33.33333333,15,70,1
548336,1,4,0,1,47.01492537,50.35971223,55.55555556,59.375,40.57971014,0
548336,1,2,1,0,50.35971223,47.01492537,44.44444444,54.09836066,56.4516129,1
548337,1,3,0,0,60.30534351,53.38983051,64.70588235,36.36363636,41.55844156,0
548337,1,5,1,1,53.38983051,60.30534351,35.29411765,53.96825397,46.2962963,1
548338,0,6,1,0,42.10526316,26.08695652,50,43.75,68.42105263,0
548338,0,10,0,1,26.08695652,42.10526316,50,85,30,1
548339,1,7,1,1,57.14285714,47.01492537,50,55.40540541,56.57894737,0
548339,1,4,0,0,47.01492537,57.14285714,50,59.375,59.42028986,1
548340,0,8,0,1,38.66666667,51.51515152,22.22222222,55.81395349,41.86046512,0
548340,0,1,1,0,51.51515152,38.66666667,77.77777778,55.07246377,56.4516129,1
548341,1,5,1,0,53.38983051,50.35971223,43.75,53.96825397,53.7037037,0
548341,1,2,0,1,50.35971223,53.38983051,56.25,45.90163934,43.5483871,1
548342,1,10,1,1,26.08695652,42.10526316,33.33333333,15,30,0
548342,1,6,0,0,42.10526316,26.08695652,66.66666667,56.25,68.42105263,1
548344,1,4,1,1,47.01492537,57.14285714,50,40.625,40.57971014,0
548344,1,7,0,0,57.14285714,47.01492537,50,44.59459459,43.42105263,1
548346,1,10,0,0,26.08695652,38.66666667,25,85,70,0
548346,1,8,1,1,38.66666667,26.08695652,75,44.18604651,41.86046512,1
548347,1,6,0,1,42.10526316,57.14285714,50,56.25,31.57894737,0
548347,1,7,1,0,57.14285714,42.10526316,50,55.40540541,43.42105263,1
548348,1,3,0,0,60.30534351,47.01492537,58.82352941,36.36363636,41.55844156,0
548348,1,4,1,1,47.01492537,60.30534351,41.17647059,40.625,40.57971014,1
548349,0,1,1,1,51.51515152,50.35971223,50,55.07246377,43.5483871,0
548349,0,2,0,0,50.35971223,51.51515152,50,45.90163934,56.4516129,1
548350,1,6,1,1,42.10526316,53.38983051,37.5,43.75,31.57894737,0
548350,1,5,0,0,53.38983051,42.10526316,62.5,46.03174603,53.7037037,1
548351,0,7,1,0,57.14285714,38.66666667,60,55.40540541,43.42105263,0
548351,0,8,0,1,38.66666667,57.14285714,40,55.81395349,41.86046512,1
548352,1,3,1,1,60.30534351,51.51515152,62.5,63.63636364,58.44155844,0
548352,1,1,0,0,51.51515152,60.30534351,37.5,44.92753623,56.4516129,1
548353,1,8,1,1,38.66666667,26.08695652,75,44.18604651,41.86046512,0
548353,1,10,0,0,26.08695652,38.66666667,25,85,70,1
548354,0,5,1,1,53.38983051,42.10526316,62.5,53.96825397,46.2962963,0
548354,0,6,0,0,42.10526316,53.38983051,37.5,56.25,68.42105263,1
