Match_Id,Day,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Team1_Score,Team2_Score,Match_Won
336030,0,1,1,1,51.51515152,60.30534351,37.5,55.07246377,43.5483871,163.0372707,219.5519918,0
336030,0,3,0,0,60.30534351,51.51515152,62.5,36.36363636,41.55844156,219.5519918,163.0372707,1
336031,1,2,0,1,50.35971223,42.10526316,58.82352941,45.90163934,43.5483871,339.4355409,438.8047931,0
336031,1,6,1,0,42.10526316,50.35971223,41.17647059,43.75,68.42105263,438.8047931,339.4355409,1
336032,1,1,0,1,51.51515152,53.38983051,40,44.92753623,43.5483871,246.2728199,398.7891566,0
336032,1,5,1,0,53.38983051,51.51515152,60,53.96825397,53.7037037,398.7891566,246.2728199,1
336033,1,7,1,0,57.14285714,47.01492537,50,55.40540541,43.42105263,287.0253346,549.8705253,0
336033,1,4,0,1,47.01492537,57.14285714,50,59.375,40.57971014,549.8705253,287.0253346,1
336034,0,3,0,0,60.30534351,50.35971223,63.15789474,36.36363636,41.55844156,345.8982241,316.1083278,0
336034,0,2,1,1,50.35971223,60.30534351,36.84210526,54.09836066,43.5483871,316.1083278,345.8982241,1
336036,1,4,1,0,47.01492537,38.66666667,70,40.625,59.42028986,351.7664512,399.1952856,0
336036,1,8,0,1,38.66666667,47.01492537,30,55.81395349,41.86046512,399.1952856,351.7664512,1
336037,1,6,1,0,42.10526316,57.14285714,50,43.75,68.42105263,565.9874735,320.1504653,0
336037,1,7,0,1,57.14285714,42.10526316,50,44.59459459,56.57894737,320.1504653,565.9874735,1
336038,0,3,0,0,60.30534351,53.38983051,64.70588235,36.36363636,41.55844156,406.508371,546.4721606,0
336038,0,5,1,1,53.38983051,60.30534351,35.29411765,53.96825397,46.2962963,546.4721606,406.508371,1
336039,1,2,0,1,50.35971223,38.66666667,45.45454545,45.90163934,43.5483871,308.3208608,383.7510336,0
336039,1,8,1,0,38.66666667,50.35971223,54.54545455,44.18604651,58.13953488,383.7510336,308.3208608,1
336040,1,1,0,0,51.51515152,47.01492537,68.42105263,44.92753623,56.4516129,416.3457946,416.2794888,0
336040,1,4,1,1,47.01492537,51.51515152,31.57894737,40.625,40.57971014,416.2794888,416.3457946,1
336041,1,5,1,0,53.38983051,57.14285714,37.5,53.96825397,53.7037037,328.3478237,314.9355776,0
336041,1,7,0,1,57.14285714,53.38983051,62.5,44.59459459,56.57894737,314.9355776,328.3478237,1
336042,1,8,1,1,38.66666667,60.30534351,40,44.18604651,41.86046512,201.1131364,408.4222306,0
336042,1,3,0,0,60.30534351,38.66666667,60,36.36363636,41.55844156,408.4222306,201.1131364,1
336043,1,6,1,0,42.10526316,53.38983051,37.5,43.75,68.42105263,322.6560219,578.8216383,0
336043,1,5,0,1,53.38983051,42.10526316,62.5,46.03174603,46.2962963,578.8216383,322.6560219,1
336044,1,3,0,0,60.30534351,47.01492537,58.82352941,36.36363636,41.55844156,425.3686473,80.42671197,0
336044,1,4,1,1,47.01492537,60.30534351,41.17647059,40.625,40.57971014,80.42671197,425.3686473,1
336045,1,3,0,1,60.30534351,53.38983051,64.70588235,36.36363636,58.44155844,443.2537951,262.6457941,0
336045,1,5,1,0,53.38983051,60.30534351,35.29411765,53.96825397,53.7037037,262.6457941,443.2537951,1
392186,1,3,1,0,60.30534351,57.14285714,45.45454545,63.63636364,41.55844156,304.6375915,416.714834,0
392186,1,7,0,1,57.14285714,60.30534351,54.54545455,44.59459459,56.57894737,416.714834,304.6375915,1
392187,0,2,1,1,50.35971223,53.38983051,50,54.09836066,43.5483871,386.7210463,204.603038,0
392187,0,5,0,0,53.38983051,50.35971223,50,46.03174603,53.7037037,204.603038,386.7210463,1
392188,1,6,1,0,42.10526316,47.01492537,44.44444444,43.75,68.42105263,362.7974989,98.49594987,0
392188,1,4,0,1,47.01492537,42.10526316,55.55555556,59.375,40.57971014,98.49594987,362.7974989,1
392189,0,8,0,0,38.66666667,51.51515152,22.22222222,55.81395349,58.13953488,482.4889643,104.7409415,0
392189,0,1,1,1,51.51515152,38.66666667,77.77777778,55.07246377,43.5483871,104.7409415,482.4889643,1
392190,1,2,0,0,50.35971223,60.30534351,36.84210526,45.90163934,56.4516129,120.7809333,569.5109816,0
392190,1,3,1,1,60.30534351,50.35971223,63.15789474,63.63636364,58.44155844,569.5109816,120.7809333,1
392191,1,4,0,1,47.01492537,51.51515152,31.57894737,59.375,40.57971014,183.8848667,222.9447454,0
392191,1,1,1,0,51.51515152,47.01492537,68.42105263,55.07246377,56.4516129,222.9447454,183.8848667,1
392193,1,2,0,0,50.35971223,38.66666667,45.45454545,45.90163934,56.4516129,280.3343098,540.6010936,0
392193,1,8,1,1,38.66666667,50.35971223,54.54545455,44.18604651,41.86046512,540.6010936,280.3343098,1
392194,1,3,0,0,60.30534351,42.10526316,68.75,36.36363636,41.55844156,426.1906935,635.5456904,0
392194,1,6,1,1,42.10526316,60.30534351,31.25,43.75,31.57894737,635.5456904,426.1906935,1
392195,0,1,1,0,51.51515152,53.38983051,40,55.07246377,56.4516129,339.474349,569.8339241,0
392195,0,5,0,1,53.38983051,51.51515152,60,46.03174603,46.2962963,569.8339241,339.474349,1
392196,1,2,1,1,50.35971223,47.01492537,44.44444444,54.09836066,43.5483871,238.3816471,526.4829527,0
392196,1,4,0,0,47.01492537,50.35971223,55.55555556,59.375,59.42028986,526.4829527,238.3816471,1
392197,1,8,1,1,38.66666667,57.14285714,40,44.18604651,41.86046512,377.3254747,352.659638,0
392197,1,7,0,0,57.14285714,38.66666667,60,44.59459459,43.42105263,352.659638,377.3254747,1
392199,1,2,1,1,50.35971223,42.10526316,58.82352941,54.09836066,43.5483871,230.2238786,392.514545,0
392199,1,6,0,0,42.10526316,50.35971223,41.17647059,56.25,68.42105263,392.514545,230.2238786,1
392200,0,4,1,1,47.01492537,53.38983051,40,40.625,40.57971014,328.4176782,245.4345824,0
392200,0,5,0,0,53.38983051,47.01492537,60,46.03174603,53.7037037,245.4345824,328.4176782,1
392201,1,3,0,1,60.30534351,38.66666667,60,36.36363636,58.44155844,168.5931939,358.8774664,0
392201,1,8,1,0,38.66666667,60.30534351,40,44.18604651,58.13953488,358.8774664,168.5931939,1
392202,0,1,0,0,51.51515152,57.14285714,27.77777778,44.92753623,56.4516129,144.1034502,465.6939108,0
392202,0,7,1,1,57.14285714,51.51515152,72.22222222,55.40540541,56.57894737,465.6939108,144.1034502,1
392203,1,6,1,1,42.10526316,53.38983051,37.5,43.75,31.57894737,291.7975485,400.6493098,0
392203,1,5,0,0,53.38983051,42.10526316,62.5,46.03174603,53.7037037,400.6493098,291.7975485,1
392204,1,2,0,0,50.35971223,51.51515152,50,45.90163934,56.4516129,310.1293651,202.8182857,0
392204,1,1,1,1,51.51515152,50.35971223,50,55.07246377,43.5483871,202.8182857,310.1293651,1
392205,0,4,1,1,47.01492537,57.14285714,50,40.625,40.57971014,261.1935075,285.0638464,0
392205,0,7,0,0,57.14285714,47.01492537,50,44.59459459,43.42105263,285.0638464,261.1935075,1
392206,1,8,0,1,38.66666667,42.10526316,36.36363636,55.81395349,41.86046512,229.5848023,441.8989036,0
392206,1,6,1,0,42.10526316,38.66666667,63.63636364,43.75,68.42105263,441.8989036,229.5848023,1
392207,0,3,0,1,60.30534351,53.38983051,64.70588235,36.36363636,58.44155844,555.3346188,190.5790128,0
392207,0,5,1,0,53.38983051,60.30534351,35.29411765,53.96825397,53.7037037,190.5790128,555.3346188,1
392208,1,1,0,0,51.51515152,57.14285714,27.77777778,44.92753623,56.4516129,269.6261897,291.9669808,0
392208,1,7,1,1,57.14285714,51.51515152,72.22222222,55.40540541,56.57894737,291.9669808,269.6261897,1
392209,0,2,1,1,50.35971223,47.01492537,44.44444444,54.09836066,43.5483871,341.1182159,379.2341892,0
392209,0,4,0,0,47.01492537,50.35971223,55.55555556,59.375,59.42028986,379.2341892,341.1182159,1
392210,1,8,1,1,38.66666667,53.38983051,22.22222222,44.18604651,41.86046512,300.7373829,212.058922,0
392210,1,5,0,0,53.38983051,38.66666667,77.77777778,46.03174603,53.7037037,212.058922,300.7373829,1
392211,0,3,0,1,60.30534351,42.10526316,68.75,36.36363636,58.44155844,401.395863,511.4388789,0
392211,0,6,1,0,42.10526316,60.30534351,31.25,43.75,68.42105263,511.4388789,401.395863,1
392212,1,4,0,0,47.01492537,51.51515152,31.57894737,59.375,59.42028986,256.3376626,317.598532,0
392212,1,1,1,1,51.51515152,47.01492537,68.42105263,55.07246377,43.5483871,317.598532,256.3376626,1
392213,0,2,0,0,50.35971223,57.14285714,42.10526316,45.90163934,56.4516129,344.9143746,140.7060132,0
392213,0,7,1,1,57.14285714,50.35971223,57.89473684,55.40540541,56.57894737,140.7060132,344.9143746,1
392214,1,3,1,1,60.30534351,38.66666667,60,63.63636364,58.44155844,537.5473425,140.313555,0
392214,1,8,0,0,38.66666667,60.30534351,40,55.81395349,58.13953488,140.313555,537.5473425,1
