Match_Id,Team_Id,Opponent_Id,Score
501207,4,10,546.0508113
501208,1,8,664.5392926
501209,5,6,674.6026779
501210,2,7,396.1332984
501211,3,4,881.9147647
501212,9,10,550.8737667
501213,2,8,790.3881688
501214,1,5,499.8615951
501215,7,9,605.0108805
501216,2,3,830.5716668
501217,4,8,636.2052468
501218,6,10,847.5190963
501219,1,5,418.2137455
501220,3,9,536.2193906
501221,6,8,682.9139558
501223,7,10,525.1325634
501224,1,9,491.7796577
501225,4,5,776.7270312
501226,3,7,788.4650845
501227,1,2,656.6947646
501228,4,6,1009.102491
501229,7,8,634.7226876
501230,5,9,592.0431319
501231,3,10,695.374178
501232,2,6,656.4785192
501233,3,10,557.2382016
501234,8,9,624.2045618
501235,1,6,723.0596705
501236,5,7,384.0572816
501237,2,10,754.8148699
501238,6,9,709.2063894
501239,1,4,372.828708
501240,5,10,668.4706887
501241,3,8,837.3467459
501242,4,7,697.0854912
501243,6,9,563.2926373
501244,1,8,620.2682966
501245,3,5,629.1124984
501246,7,10,606.1515267
501247,1,9,684.7178405
501248,6,8,959.4920497
501249,2,4,809.6525963
501250,1,3,335.5679964
501251,6,7,729.0163341
501252,2,9,540.650903
501253,4,10,569.4359397
501254,3,5,767.1287289
501255,8,10,588.844439
501256,4,7,781.5498612
501257,2,5,532.5971181
501258,3,6,754.4615008
501259,4,9,772.6376836
501260,1,2,563.0446533
501261,7,8,565.048955
501262,4,6,687.7520683
501263,5,9,446.9091571
501264,8,10,482.1513641
501265,2,4,825.0383179
501266,3,9,560.6759667
501267,1,10,449.0417864
501268,5,7,557.6538338
501269,4,8,803.3488825
501270,6,10,128.7017801
501271,2,3,569.4783975
501272,1,7,685.4381423
501273,2,3,697.7517899
501274,1,7,694.2835792
501275,2,7,660.5790459
501276,2,3,708.0019969
548311,3,7,540.714021
548312,1,6,536.2853216
548313,7,10,186.4759927
548314,4,5,411.4844989
548315,2,6,415.1154896
548316,3,8,278.1278748
548317,1,5,390.7053957
548318,4,10,355.4989754
548319,7,8,429.4428503
548320,1,2,315.6246308
548321,3,6,251.7987006
548322,5,7,585.4826926
548323,2,3,714.3891095
548324,4,10,287.4525778
548325,1,5,304.221027
548326,6,8,531.5478497
548327,3,10,375.5197737
548328,1,4,257.3984544
548329,2,5,579.6021118
548330,6,7,145.0669636
548331,5,8,708.0405785
548332,2,10,648.1098588
548333,1,4,343.1506789
548334,6,8,770.127432
548335,3,10,451.2735249
548336,2,4,516.7642007
548337,3,5,376.8033615
548338,6,10,624.4559251
548339,4,7,518.9004046
548340,1,8,313.8163192
548341,2,5,521.3954646
548342,6,10,472.0142386
548344,4,7,575.6599664
548346,8,10,490.4604978
548347,6,7,706.8288314
548348,3,4,355.4749004
548349,1,2,524.6821671
548350,5,6,455.1633919
548351,7,8,211.8574469
548352,1,3,355.598239
548353,8,10,592.6442501
548354,5,6,492.916902
548355,2,4,508.112917
548356,7,10,227.3034057
548357,3,8,427.7671287
548358,1,10,345.6895599
548359,4,5,422.0031581
548360,3,7,552.2959981
548361,2,8,664.1841766
548362,1,6,446.2053218
548363,5,10,371.3474984
548364,4,8,462.7090301
548365,2,7,356.0497053
548366,3,5,329.1162088
548367,2,10,498.7809056
548368,1,7,605.7206483
548369,3,6,281.02868
548370,5,10,473.4959319
548371,4,8,710.2272165
548372,2,7,579.1630863
548373,1,3,496.389957
548374,4,6,405.8729259
548375,1,7,230.8042337
548376,3,4,289.5614643
548377,2,6,797.7029269
548378,5,8,337.5777185
548379,4,6,395.5164565
548380,1,10,208.6762544
